player_name,스탯 종류,RAA 값,리그 순위,순위 퍼센티지 (%)
심우준,종합RAA,-4.0,219,26
심우준,공격RAA,-13.41,293,1
심우준,수비RAA,50.21,15,95
심우준,타격RAA,-14.95,284,4
심우준,주루RAA,1.53,12,96
심우준,필딩RAA,4.78,22,93
노시환,종합RAA,4.14,56,81
노시환,공격RAA,7.94,34,89
노시환,수비RAA,-15.9,249,15
노시환,타격RAA,8.53,33,89
노시환,주루RAA,-0.59,242,19
노시환,필딩RAA,-2.02,230,22
최주환,종합RAA,-12.2,283,5
최주환,공격RAA,1.79,65,78
최주환,수비RAA,-85.81,290,1
최주환,타격RAA,2.83,58,80
최주환,주루RAA,-1.04,275,7
최주환,필딩RAA,-4.77,279,5
송성문,종합RAA,54.99,1,100
송성문,공격RAA,46.14,1,100
송성문,수비RAA,74.5,4,99
송성문,타격RAA,43.93,1,100
송성문,주루RAA,2.21,7,98
송성문,필딩RAA,8.24,4,99
구자욱,종합RAA,15.9,19,94
구자욱,공격RAA,28.37,6,98
구자욱,수비RAA,-67.1,286,3
구자욱,타격RAA,28.16,6,98
구자욱,주루RAA,0.21,95,68
구자욱,필딩RAA,-6.1,283,4
강민호,종합RAA,9.73,29,90
강민호,공격RAA,-0.24,106,64
강민호,수비RAA,60.43,10,97
강민호,타격RAA,0.2,86,71
강민호,주루RAA,-0.44,231,22
강민호,필딩RAA,2.74,49,83
황성빈,종합RAA,-5.45,234,21
황성빈,공격RAA,-5.3,242,19
황성빈,수비RAA,-6.52,221,25
황성빈,타격RAA,-8.33,256,14
황성빈,주루RAA,3.02,1,100
황성빈,필딩RAA,-0.34,165,44
전준우,종합RAA,-3.63,207,30
전준우,공격RAA,8.47,31,90
전준우,수비RAA,-78.98,288,2
전준우,타격RAA,9.74,29,90
전준우,주루RAA,-1.27,282,5
전준우,필딩RAA,-4.64,277,6
정수빈,종합RAA,9.22,32,89
정수빈,공격RAA,4.65,47,84
정수빈,수비RAA,68.42,8,97
정수빈,타격RAA,5.52,43,86
정수빈,주루RAA,-0.88,269,9
정수빈,필딩RAA,4.31,26,91
양석환,종합RAA,-1.15,144,52
양석환,공격RAA,-0.18,105,65
양석환,수비RAA,45.45,21,93
양석환,타격RAA,-0.6,121,59
양석환,주루RAA,0.41,60,80
양석환,필딩RAA,4.69,23,92
한유섬,종합RAA,0.59,75,75
한유섬,공격RAA,7.45,38,87
한유섬,수비RAA,-14.6,245,17
한유섬,타격RAA,7.43,39,87
한유섬,주루RAA,0.02,126,58
한유섬,필딩RAA,-1.12,202,31
최정,종합RAA,-5.41,232,22
최정,공격RAA,4.19,49,84
최정,수비RAA,-86.81,291,1
최정,타격RAA,4.96,46,85
최정,주루RAA,-0.77,260,12
최정,필딩RAA,-4.13,269,9
손아섭,종합RAA,-4.82,228,23
손아섭,공격RAA,-3.46,209,30
손아섭,수비RAA,68.64,7,98
손아섭,타격RAA,-1.41,147,51
손아섭,주루RAA,-2.05,296,0
손아섭,필딩RAA,3.62,38,87
박민우,종합RAA,25.34,8,97
박민우,공격RAA,14.77,19,94
박민우,수비RAA,91.26,2,99
박민우,타격RAA,14.36,21,93
박민우,주루RAA,0.41,61,79
박민우,필딩RAA,6.97,8,97
홍창기,종합RAA,1.0,72,76
홍창기,공격RAA,3.71,51,83
홍창기,수비RAA,-5.16,212,28
홍창기,타격RAA,3.38,53,82
홍창기,주루RAA,0.33,70,76
홍창기,필딩RAA,-0.55,179,39
오스틴,종합RAA,19.72,12,96
오스틴,공격RAA,26.83,7,98
오스틴,수비RAA,-5.87,215,27
오스틴,타격RAA,26.23,7,98
오스틴,주루RAA,0.6,43,86
오스틴,필딩RAA,1.0,90,69
배정대,종합RAA,-10.14,274,8
배정대,공격RAA,-15.45,295,1
배정대,수비RAA,49.95,16,95
배정대,타격RAA,-14.65,283,5
배정대,주루RAA,-0.8,261,12
배정대,필딩RAA,5.02,20,93
박찬호,종합RAA,16.55,17,94
박찬호,공격RAA,2.42,61,79
박찬호,수비RAA,32.42,27,91
박찬호,타격RAA,-0.11,91,69
박찬호,주루RAA,2.53,2,99
박찬호,필딩RAA,3.12,42,86
김도영,종합RAA,8.3,35,88
김도영,공격RAA,6.61,40,87
김도영,수비RAA,13.37,57,81
김도영,타격RAA,5.49,44,85
김도영,주루RAA,1.12,20,93
김도영,필딩RAA,2.12,60,80
